# family=random seed=1
80 624
0 1
0 9
0 10
0 14
0 20
0 21
0 27
0 36
0 40
0 43
0 57
0 61
0 72
0 73
0 78
1 14
1 23
1 26
1 35
1 37
1 46
1 47
1 48
1 51
1 54
1 55
1 57
1 63
1 66
1 67
1 73
1 74
1 75
1 77
2 14
2 25
2 27
2 31
2 41
2 42
2 49
2 66
2 67
3 4
3 6
3 7
3 8
3 18
3 27
3 29
3 30
3 32
3 36
3 37
3 40
3 48
3 50
3 51
3 57
3 61
3 72
4 16
4 18
4 20
4 21
4 27
4 30
4 32
4 37
4 42
4 44
4 52
4 54
4 58
4 68
4 72
4 74
4 75
5 8
5 25
5 26
5 29
5 43
5 48
5 53
5 55
5 62
5 73
5 75
5 78
6 8
6 12
6 13
6 15
6 36
6 38
6 44
6 51
6 62
6 75
6 79
7 35
7 39
7 45
7 56
7 62
7 70
7 78
8 14
8 16
8 24
8 25
8 33
8 36
8 37
8 38
8 42
8 49
8 51
8 55
8 66
8 76
8 78
8 79
9 11
9 13
9 17
9 18
9 20
9 22
9 23
9 24
9 35
9 42
9 45
9 55
9 59
9 60
9 65
9 68
9 72
9 74
9 76
9 77
10 12
10 25
10 36
10 39
10 42
10 52
10 56
10 66
11 12
11 13
11 17
11 20
11 21
11 24
11 28
11 29
11 32
11 34
11 61
11 64
11 67
11 68
12 21
12 42
12 45
12 46
12 63
12 64
12 67
12 74
13 16
13 20
13 28
13 34
13 36
13 52
13 66
13 67
13 73
14 18
14 22
14 31
14 32
14 34
14 40
14 44
14 45
14 48
14 55
14 57
14 61
14 62
14 64
14 67
14 68
14 69
15 31
15 33
15 42
15 50
15 53
15 55
15 62
15 66
15 72
16 23
16 25
16 27
16 28
16 29
16 30
16 44
16 53
16 62
16 65
16 71
16 75
16 77
17 25
17 31
17 33
17 34
17 35
17 36
17 41
17 45
17 52
17 62
17 75
18 22
18 35
18 41
18 48
18 53
18 54
18 56
18 59
18 65
18 67
18 69
18 74
18 76
19 28
19 38
19 44
19 50
19 56
19 59
19 60
19 76
19 78
20 22
20 28
20 30
20 35
20 38
20 43
20 47
20 48
20 51
20 70
21 23
21 25
21 38
21 39
21 43
21 44
21 51
21 52
21 60
21 61
21 64
21 76
22 23
22 27
22 31
22 37
22 38
22 39
22 41
22 43
22 44
22 51
22 53
22 56
22 58
22 60
22 68
22 69
22 75
22 76
22 77
23 28
23 52
23 66
23 70
23 76
23 77
24 25
24 32
24 42
24 43
24 51
24 55
24 60
24 71
24 73
25 29
25 32
25 35
25 36
25 37
25 40
25 41
25 44
25 45
25 59
25 60
25 64
25 66
25 69
25 71
25 72
25 79
26 29
26 37
26 39
26 53
26 54
26 66
26 67
26 68
26 72
26 75
26 76
27 28
27 37
27 38
27 42
27 52
27 54
27 64
27 67
27 68
27 69
27 72
28 36
28 39
28 41
28 43
28 48
28 50
28 56
28 59
28 60
28 63
28 64
28 74
28 75
28 78
28 79
29 39
29 63
29 71
29 75
29 77
30 35
30 38
30 44
30 46
30 49
30 54
30 58
30 66
30 72
30 73
30 75
31 36
31 38
31 41
31 44
31 45
31 51
31 53
31 57
31 63
31 64
31 69
31 75
31 76
32 37
32 38
32 39
32 40
32 44
32 52
33 46
33 54
33 61
33 63
33 68
33 76
33 78
34 35
34 37
34 38
34 43
34 45
34 50
34 53
34 55
34 58
34 65
34 67
34 69
34 73
34 75
35 37
35 45
35 47
35 52
35 55
35 65
35 75
35 76
35 77
36 37
36 38
36 44
36 56
36 60
36 61
36 63
36 65
36 74
37 44
37 48
37 59
37 60
37 69
37 77
38 41
38 43
38 48
38 59
38 60
38 61
38 62
38 66
38 67
38 69
38 74
39 40
39 46
39 48
39 68
39 72
40 42
40 46
40 53
40 56
40 67
40 68
40 77
40 79
41 46
41 56
41 58
41 64
41 67
41 70
41 73
41 74
41 75
42 45
42 58
42 62
42 64
42 67
42 75
43 49
43 50
43 55
43 59
43 67
43 68
43 71
43 72
43 77
43 78
44 48
44 50
44 55
44 56
44 57
44 58
44 60
44 62
44 63
44 71
44 76
44 77
45 52
45 54
45 58
45 59
45 63
45 65
45 68
45 69
45 71
45 74
45 77
46 47
46 55
46 70
46 74
46 77
47 59
47 60
47 69
47 70
47 75
48 56
48 57
48 58
48 63
48 70
48 76
48 77
49 50
49 65
49 68
49 74
50 59
50 63
50 67
50 69
50 70
50 72
50 73
50 77
50 78
51 55
51 60
51 69
51 70
51 73
51 78
52 54
52 64
52 68
52 69
52 71
52 79
53 59
53 60
53 61
53 71
53 77
54 68
54 77
55 60
55 66
55 77
55 78
56 70
56 75
56 76
56 79
57 61
57 62
57 64
57 65
57 67
57 70
57 76
58 59
58 69
58 70
58 72
58 73
58 75
59 62
59 72
60 61
60 67
60 71
60 72
60 75
61 65
61 67
61 72
61 77
62 66
62 71
62 72
62 78
63 67
64 65
64 72
64 75
65 68
65 69
66 70
66 76
67 76
68 71
68 73
69 70
69 73
69 74
70 71
70 72
70 74
71 74
71 75
73 76
75 76
77 78
