# family=random seed=0
80 1564
0 3
0 4
0 6
0 8
0 9
0 13
0 16
0 21
0 25
0 26
0 27
0 31
0 33
0 36
0 38
0 41
0 42
0 44
0 45
0 47
0 49
0 52
0 53
0 54
0 57
0 66
0 68
0 70
0 71
0 72
0 75
0 76
1 6
1 8
1 15
1 20
1 22
1 25
1 27
1 28
1 30
1 32
1 33
1 35
1 40
1 44
1 45
1 47
1 48
1 50
1 51
1 52
1 55
1 56
1 57
1 58
1 59
1 61
1 62
1 64
1 65
1 67
1 68
1 72
1 75
1 78
1 79
2 4
2 5
2 6
2 7
2 10
2 11
2 13
2 15
2 17
2 18
2 19
2 20
2 22
2 23
2 24
2 29
2 30
2 32
2 33
2 34
2 35
2 37
2 40
2 41
2 43
2 45
2 46
2 47
2 48
2 50
2 54
2 55
2 56
2 60
2 63
2 66
2 68
2 69
2 71
2 74
2 75
2 78
3 4
3 6
3 7
3 8
3 9
3 12
3 15
3 17
3 18
3 19
3 25
3 32
3 34
3 36
3 37
3 38
3 41
3 43
3 44
3 46
3 47
3 49
3 50
3 51
3 52
3 53
3 55
3 56
3 57
3 58
3 59
3 61
3 64
3 65
3 67
3 68
3 73
3 76
3 77
3 79
4 5
4 6
4 8
4 9
4 12
4 13
4 15
4 17
4 18
4 19
4 23
4 25
4 26
4 27
4 28
4 30
4 31
4 32
4 33
4 35
4 38
4 39
4 42
4 44
4 45
4 46
4 48
4 50
4 51
4 55
4 56
4 57
4 63
4 64
4 66
4 67
4 68
4 69
4 71
4 72
4 73
5 12
5 16
5 18
5 23
5 24
5 26
5 27
5 30
5 31
5 33
5 35
5 36
5 38
5 39
5 40
5 41
5 45
5 47
5 49
5 50
5 51
5 52
5 53
5 56
5 58
5 59
5 61
5 64
5 66
5 67
5 71
6 7
6 9
6 11
6 13
6 14
6 16
6 21
6 22
6 27
6 28
6 29
6 30
6 34
6 35
6 38
6 39
6 41
6 45
6 46
6 47
6 48
6 49
6 50
6 53
6 55
6 56
6 59
6 60
6 61
6 62
6 65
6 66
6 67
6 69
6 71
6 72
6 73
6 77
6 79
7 9
7 13
7 14
7 16
7 17
