# family=random seed=2
80 593
0 3
0 4
0 12
0 21
0 22
0 30
0 32
0 36
0 46
0 66
1 4
1 8
1 10
1 15
1 23
1 25
1 27
1 29
1 31
1 34
1 35
1 38
1 40
1 41
1 45
1 47
1 59
1 62
1 66
1 71
1 73
1 74
1 75
1 76
1 77
2 16
2 17
2 19
2 22
2 23
2 37
2 40
2 41
2 50
2 52
2 56
2 62
2 66
2 68
2 74
2 75
2 76
3 5
3 29
3 32
3 34
3 35
3 39
3 46
3 50
3 61
3 63
3 66
4 11
4 17
4 23
4 26
4 29
4 31
4 39
4 40
4 50
4 51
4 53
4 60
4 61
4 65
4 78
5 12
5 25
5 30
5 32
5 41
5 43
5 70
5 75
5 77
5 78
6 18
6 21
6 22
6 34
6 35
6 39
6 61
6 62
6 64
6 68
6 71
6 72
6 74
6 75
6 77
7 8
7 13
7 15
7 16
7 22
7 24
7 25
7 26
7 28
7 37
7 38
7 58
7 61
7 68
7 73
7 74
7 75
7 78
8 24
8 43
8 45
8 49
8 61
8 63
8 72
8 74
8 75
8 78
9 15
9 27
9 29
9 41
9 44
9 48
9 56
9 58
9 59
9 65
9 67
9 70
9 79
10 19
10 22
10 27
10 33
10 34
10 41
10 47
10 49
10 51
10 52
10 57
10 62
10 74
10 76
10 78
11 25
11 49
11 62
11 79
12 14
12 19
12 22
12 27
12 28
12 29
12 32
12 42
12 54
12 64
12 68
12 69
12 75
12 78
12 79
13 15
13 16
13 19
13 24
13 26
13 31
13 32
13 34
13 39
13 43
13 46
13 47
13 50
13 57
13 59
13 60
13 61
13 71
13 73
13 74
13 79
14 20
14 23
14 28
14 33
14 39
14 40
14 49
14 52
14 61
14 64
14 74
15 20
15 24
15 25
15 26
15 29
15 33
15 34
15 38
15 51
15 58
15 59
15 63
15 68
15 78
15 79
16 18
16 24
16 40
16 44
16 46
16 52
16 53
16 59
16 65
16 69
16 75
17 23
17 24
17 30
17 31
17 33
17 37
17 47
17 54
17 56
17 64
17 67
17 69
17 72
18 19
18 21
18 31
18 36
18 40
18 41
18 48
18 52
18 54
18 55
18 62
18 63
18 64
18 71
18 75
19 25
19 27
19 28
19 29
19 39
19 44
19 45
19 72
19 76
20 25
20 35
20 37
20 43
20 46
20 50
20 52
20 63
20 69
20 72
20 73
20 75
20 77
20 78
21 30
21 35
21 39
21 40
21 58
21 71
21 72
21 76
22 24
22 43
22 47
22 54
22 61
22 64
22 78
22 79
23 24
23 31
23 32
23 34
23 42
23 44
23 66
23 67
23 68
23 73
23 75
24 35
24 38
24 43
24 48
24 65
24 72
25 32
25 34
25 35
25 39
25 40
25 42
25 51
25 59
25 64
25 72
25 74
26 28
26 29
26 33
26 39
26 59
26 63
26 67
26 70
26 72
26 75
26 76
26 79
27 28
27 30
27 35
27 47
27 54
27 63
27 75
27 76
27 79
28 29
28 37
28 39
28 40
28 43
28 46
28 47
28 49
28 52
28 60
28 63
28 68
28 76
29 30
29 34
29 38
29 47
29 52
29 62
29 63
29 64
29 67
30 31
30 38
30 39
30 53
30 69
31 32
31 38
31 43
31 49
31 70
31 75
32 37
32 39
32 46
32 47
32 51
32 52
32 69
32 72
32 78
33 37
33 41
33 50
33 55
33 69
33 79
34 36
34 48
34 57
34 70
34 75
34 79
35 38
35 42
35 43
35 46
35 48
35 56
35 62
35 67
35 72
35 74
35 75
35 79
36 38
36 40
36 43
36 45
36 46
36 51
36 53
36 54
36 57
36 64
36 69
36 71
36 75
37 38
37 45
37 49
37 72
37 76
38 63
38 66
38 70
38 76
39 46
39 48
39 57
39 60
40 47
40 49
40 54
40 56
40 59
40 66
40 68
40 76
41 46
41 61
41 62
41 66
41 67
41 68
41 70
41 72
42 54
42 56
42 58
42 60
42 65
42 73
43 61
43 64
43 69
44 45
44 49
44 50
44 56
44 58
44 65
44 69
44 71
44 79
45 50
45 55
45 59
45 73
45 77
46 50
46 51
46 56
46 61
46 63
46 69
46 74
46 75
46 76
47 57
47 60
47 64
47 66
47 70
48 51
48 52
48 57
48 63
48 65
48 75
48 77
49 50
49 51
49 52
49 57
49 70
49 77
49 79
50 52
50 66
50 74
50 76
50 78
51 70
51 71
51 74
51 76
51 77
51 79
52 63
52 70
52 72
52 75
53 55
53 56
53 57
53 59
53 65
53 67
53 69
53 70
53 73
53 74
53 79
54 61
54 68
54 69
54 71
55 59
55 69
56 57
56 66
56 67
56 69
56 74
56 78
57 60
57 62
57 63
57 69
57 70
58 62
58 67
58 70
58 71
58 72
58 73
59 69
59 74
59 79
60 65
60 71
61 67
62 70
62 73
62 74
63 79
64 67
64 72
64 74
64 79
65 73
65 79
66 74
66 78
68 69
68 74
69 74
69 76
69 77
69 78
71 73
71 74
73 76
74 75
74 79
75 79
76 78
77 79
78 79
