# family=random seed=1
60 860
0 1
0 4
0 5
0 6
0 9
0 10
0 12
0 14
0 15
0 17
0 20
0 21
0 24
0 25
0 26
0 27
0 28
0 29
0 30
0 31
0 32
0 33
0 34
0 35
0 36
0 40
0 43
0 44
0 48
0 51
0 57
0 58
1 2
1 3
1 7
1 8
1 12
1 13
1 14
1 15
1 19
1 20
1 26
1 30
1 31
1 34
1 42
1 43
1 46
1 48
1 49
1 50
1 54
1 55
1 56
1 57
2 6
2 9
2 10
2 11
2 13
2 14
2 16
2 17
2 18
2 20
2 21
2 23
2 24
2 25
2 26
2 27
2 28
2 29
2 30
2 33
2 36
2 37
2 38
2 40
2 44
2 48
2 50
2 52
2 54
2 55
2 58
3 4
3 7
3 8
3 9
3 11
3 15
3 20
3 21
3 22
3 24
3 25
3 26
3 28
3 29
3 30
3 33
3 34
3 35
3 38
3 39
3 43
3 46
3 48
3 50
3 51
3 53
3 57
3 58
3 59
4 9
4 11
4 12
4 13
4 17
4 20
4 22
4 23
4 24
4 28
4 29
4 32
4 34
4 35
4 37
4 38
4 40
4 41
4 42
4 43
4 45
4 47
4 50
4 51
4 52
4 53
4 55
4 56
4 58
5 6
5 7
5 8
5 12
5 13
5 19
5 21
5 22
5 23
5 24
5 26
5 30
5 31
5 32
5 33
5 36
5 37
5 41
5 42
5 43
5 44
5 46
5 47
5 49
5 51
5 53
5 56
5 58
6 9
6 10
6 13
6 15
6 17
6 18
6 25
6 26
6 27
6 30
6 31
6 37
6 38
6 39
6 40
6 41
6 43
6 45
6 46
6 47
6 48
6 49
6 51
6 52
6 54
6 55
6 59
7 10
7 11
7 12
7 13
7 14
7 18
7 20
7 21
7 24
7 27
7 30
7 38
7 39
7 40
7 43
7 46
7 48
7 50
7 54
7 57
8 11
8 14
8 16
8 17
8 18
8 19
8 22
8 24
8 25
8 26
8 27
8 29
8 30
8 31
8 32
8 36
8 37
8 39
8 41
8 47
8 51
8 52
8 53
8 55
9 11
9 14
9 16
9 18
9 19
9 20
9 21
9 22
9 25
9 27
9 28
9 29
9 30
9 36
9 38
9 41
9 42
9 45
9 46
9 47
9 48
9 49
9 55
10 11
10 20
10 21
10 25
10 27
10 28
10 29
10 32
10 33
10 35
10 39
10 42
10 43
10 45
10 46
10 49
10 52
10 56
10 58
11 12
11 15
11 16
11 20
11 23
11 24
11 27
11 29
11 31
11 35
11 37
11 38
11 40
11 42
11 45
11 46
11 47
11 48
11 49
11 50
11 51
11 54
11 55
12 13
12 15
12 17
12 18
12 19
12 20
12 21
12 22
12 24
12 26
12 28
12 32
12 35
12 36
12 39
12 42
12 44
12 45
12 47
12 48
12 49
12 50
12 53
12 54
12 56
12 57
12 58
12 59
13 14
13 20
13 24
13 25
13 28
13 32
13 33
13 34
13 35
13 37
13 43
13 45
13 49
13 50
13 52
13 53
13 55
13 57
13 58
13 59
14 17
14 19
14 21
14 22
14 23
14 25
14 26
14 30
14 31
14 32
14 34
14 35
14 39
14 41
14 49
14 50
14 51
14 53
14 54
14 56
14 59
15 16
15 17
15 18
15 22
15 24
15 25
15 26
15 28
15 36
15 43
15 46
15 47
15 50
15 51
15 55
15 56
15 58
15 59
16 18
16 19
16 20
16 23
16 24
16 27
16 29
16 30
16 33
16 38
16 46
16 47
16 51
16 52
16 56
16 58
16 59
17 18
17 20
17 21
17 22
17 33
17 35
17 36
17 41
17 46
17 47
17 54
17 55
17 57
