# family=random seed=2
40 389
0 3
0 4
0 8
0 12
0 13
0 14
0 19
0 20
0 21
0 22
0 23
0 24
0 25
0 29
0 30
0 31
0 32
0 36
1 5
1 8
1 11
1 13
1 17
1 20
1 24
1 25
1 26
1 28
1 30
1 32
1 39
2 3
2 7
2 11
2 13
2 15
2 16
2 18
2 21
2 22
2 24
2 26
2 27
2 28
2 30
2 32
2 34
2 35
2 37
2 38
3 4
3 5
3 7
3 8
3 9
3 12
3 13
3 14
3 15
3 22
3 23
3 25
3 26
3 27
3 29
3 31
3 33
3 35
3 37
3 38
4 5
4 6
4 7
4 8
4 9
4 15
4 16
4 17
4 22
4 23
4 25
4 26
4 27
4 28
4 30
4 31
4 32
4 33
4 34
4 36
4 37
4 39
5 9
5 12
5 13
5 15
5 16
5 18
5 22
5 24
5 25
5 27
5 28
5 31
5 32
5 33
5 34
5 35
5 37
5 38
5 39
6 8
6 10
6 12
6 13
6 15
6 16
6 17
6 18
6 23
6 27
6 28
6 29
6 31
6 33
6 38
6 39
7 8
7 9
7 10
7 15
7 16
7 18
7 19
7 20
7 21
7 25
7 26
7 27
7 30
7 32
7 36
7 39
8 10
8 12
8 16
8 17
8 18
8 21
8 23
8 24
8 28
8 30
8 35
8 37
9 11
9 12
9 17
9 23
9 26
9 29
9 31
9 33
9 34
9 36
9 37
9 39
10 11
10 12
10 16
10 18
10 19
10 21
10 22
10 24
10 27
10 31
10 32
10 33
10 34
10 35
10 36
10 39
11 13
11 14
11 16
11 18
11 21
11 23
11 27
11 29
11 31
11 36
11 37
11 38
11 39
12 13
12 15
12 17
12 18
12 19
12 20
12 21
12 22
12 23
12 24
12 27
12 30
12 31
12 32
12 33
12 35
12 36
12 38
13 15
13 17
13 29
13 32
13 33
13 34
13 36
13 37
13 39
14 16
14 17
14 18
14 19
14 23
14 25
14 27
14 28
14 30
14 31
14 33
14 34
14 35
14 36
14 37
14 38
14 39
15 16
15 17
15 19
15 20
15 22
15 23
15 25
15 27
15 30
15 33
15 35
15 36
15 38
16 23
16 24
16 26
16 27
16 29
16 33
16 34
16 36
16 37
16 38
16 39
17 18
17 20
17 23
17 25
17 26
17 28
17 30
17 31
17 37
17 38
17 39
18 19
18 20
18 21
18 22
18 23
18 24
18 31
18 32
18 35
18 36
18 37
18 38
18 39
19 20
19 24
19 25
19 28
19 32
19 34
19 35
20 22
20 23
20 28
20 29
20 30
20 33
20 37
20 38
20 39
21 24
21 27
21 28
21 30
21 32
21 34
21 36
21 37
21 39
22 25
22 29
22 30
22 31
22 32
22 33
22 34
22 35
22 36
22 37
22 39
23 24
23 27
23 32
23 33
23 35
23 36
23 38
23 39
24 25
24 26
24 28
24 29
24 30
24 32
24 34
24 35
24 37
24 38
25 28
25 31
25 32
25 35
26 28
26 29
26 30
26 32
26 34
26 35
26 37
26 38
26 39
27 28
27 29
27 32
27 35
27 37
27 39
28 35
28 36
28 37
28 38
28 39
29 30
29 35
29 37
29 39
30 31
30 32
30 34
30 36
30 37
31 32
31 34
32 34
32 35
32 37
33 36
33 39
34 35
34 37
34 38
35 39
36 38
36 39
38 39
