# family=random seed=0
40 162
0 26
0 36
1 3
1 9
1 15
1 19
1 33
1 34
1 38
2 23
2 30
2 35
2 36
2 38
3 7
3 14
3 15
3 17
3 18
3 22
3 24
3 29
3 31
3 32
3 34
3 39
4 7
4 14
4 24
4 27
5 7
5 8
5 20
5 23
5 35
5 38
6 13
6 16
6 17
6 22
6 25
6 30
6 36
6 37
7 11
7 22
7 23
7 29
7 30
7 38
7 39
8 10
8 14
8 31
8 32
8 34
8 35
9 19
9 25
9 28
9 31
9 32
9 35
9 38
10 26
10 27
10 34
10 35
10 37
10 39
11 12
11 15
11 16
12 13
12 14
12 17
12 23
12 25
12 28
12 29
12 35
13 14
13 16
13 17
13 20
13 31
13 35
14 19
14 25
14 26
14 34
15 17
15 23
15 26
15 29
15 33
15 34
15 36
15 38
16 18
16 24
16 25
16 27
16 30
16 31
16 34
17 20
17 22
17 24
17 33
17 34
17 35
17 36
17 37
18 20
18 23
18 27
19 28
19 33
19 36
20 22
20 31
20 33
20 38
21 26
21 33
22 31
22 35
23 28
23 31
23 33
23 36
23 38
24 28
24 29
24 38
25 27
25 34
26 29
26 32
26 35
26 36
26 37
26 39
28 36
28 37
28 38
29 30
29 38
30 35
30 36
31 32
32 34
32 36
32 39
33 37
33 38
33 39
34 39
35 39
36 37
36 39
