# family=random seed=2
40 150
0 3
0 4
0 12
0 21
0 22
0 30
0 32
0 36
1 8
1 28
2 7
2 11
2 13
2 18
2 26
2 28
2 30
2 32
2 34
2 37
2 38
3 5
3 7
3 8
3 12
3 14
3 26
3 29
3 33
3 38
4 5
4 6
4 7
4 8
4 9
4 25
4 26
4 28
4 31
4 32
5 12
5 15
5 16
5 25
5 27
5 31
5 37
6 8
6 10
6 16
6 17
6 18
6 23
7 15
7 18
7 20
7 21
7 25
7 32
7 36
8 16
8 18
8 21
9 11
9 17
9 23
9 26
9 29
9 31
9 39
10 11
10 21
10 22
10 24
10 31
10 32
10 36
11 21
11 29
12 15
12 20
12 22
12 31
12 33
13 34
13 39
14 16
14 17
14 30
14 33
14 34
15 22
15 23
15 27
16 26
16 27
16 29
16 33
16 36
16 37
16 39
17 18
17 20
17 23
17 28
17 30
17 31
17 37
17 39
18 19
18 20
18 22
18 31
18 32
19 32
19 35
20 23
20 28
20 29
20 30
20 33
21 32
22 34
22 36
23 24
23 36
23 38
24 32
24 34
24 35
24 38
25 31
26 30
26 32
27 32
27 35
27 39
28 36
28 38
28 39
29 35
29 37
30 31
31 32
32 34
32 37
33 36
34 37
34 38
36 38
