# family=random seed=0
60 351
0 26
0 36
0 41
0 47
0 53
0 57
1 13
1 14
1 18
1 40
1 47
1 52
1 53
1 55
2 3
2 10
2 11
2 13
2 14
2 18
2 20
2 25
2 27
2 28
2 30
2 35
2 38
2 45
2 55
2 58
3 16
3 17
3 29
3 32
3 44
3 47
3 55
3 58
3 59
4 9
4 12
4 17
4 23
4 24
4 30
4 41
4 42
4 48
4 49
4 57
4 58
5 6
5 10
5 27
5 28
5 30
5 31
5 45
5 51
5 54
5 57
5 58
6 8
6 11
6 28
6 29
6 36
6 37
6 39
6 41
6 42
6 45
6 46
7 18
7 19
7 22
7 28
7 30
7 33
7 34
7 40
7 45
7 47
7 48
7 51
8 11
8 15
8 24
8 30
8 31
8 39
8 46
8 52
8 55
8 58
9 12
9 13
9 15
9 17
9 20
9 26
9 27
9 29
9 32
9 33
9 36
9 44
9 46
9 48
9 57
9 58
9 59
10 11
10 12
10 16
10 19
10 23
10 44
10 49
10 52
10 57
11 18
11 20
11 25
11 31
11 38
11 53
11 57
12 19
12 22
12 24
12 27
12 29
12 34
12 35
12 44
12 47
12 54
13 16
13 19
13 22
13 23
13 24
13 26
13 46
13 47
13 48
13 50
13 58
14 19
14 20
14 24
14 33
14 35
14 38
14 42
14 43
14 44
14 49
14 53
14 54
14 56
15 27
15 29
15 38
15 40
15 54
15 59
16 17
16 21
16 35
16 40
16 55
16 56
17 27
17 28
17 30
17 31
17 34
17 35
17 42
17 53
17 57
17 58
18 21
18 26
18 28
18 31
18 32
18 37
18 42
18 44
18 45
18 47
19 27
19 29
19 53
20 24
20 25
20 26
20 27
20 35
20 39
20 40
20 42
20 43
20 57
21 24
21 35
21 48
21 56
22 28
22 29
22 30
22 38
22 41
22 44
22 47
22 50
22 51
22 52
22 54
23 31
23 32
23 33
23 37
23 39
23 46
23 56
23 59
24 27
24 30
24 35
24 44
24 52
24 54
24 56
24 58
25 26
25 29
25 34
25 35
25 43
25 45
25 48
25 50
25 53
25 58
25 59
26 32
26 37
26 41
26 43
26 45
26 46
26 56
26 59
27 33
27 35
27 37
27 41
27 44
27 46
27 51
27 56
27 59
28 44
28 48
28 52
28 54
28 56
29 33
29 46
29 48
29 58
30 31
30 34
30 40
30 50
31 45
31 46
31 56
32 34
32 38
32 47
32 50
32 59
33 34
33 40
33 46
33 51
33 53
33 56
33 57
33 58
34 39
34 40
34 42
34 45
34 47
34 57
34 58
35 43
35 56
36 52
36 55
37 46
37 53
37 54
37 57
38 40
38 42
38 43
38 46
38 48
38 49
38 52
38 53
39 49
40 42
40 43
40 45
40 59
41 43
41 57
42 45
42 46
42 53
43 46
44 46
44 47
44 48
45 47
45 55
46 51
46 58
47 48
47 53
47 56
48 53
48 56
49 57
49 58
50 52
50 57
51 55
51 57
52 56
53 55
53 57
55 56
