# family=structured seed=2
# opt_upper_bound=6
60 889
55 57
26 39
28 58
18 35
29 32
19 18
21 37
6 48
40 50
21 46
29 59
21 55
33 20
44 20
33 29
44 29
25 25
10 36
33 38
52 51
56 3
33 47
34 12
44 47
25 43
56 12
33 56
44 56
59 32
49 9
7 3
7 21
47 57
48 22
17 53
59 59
7 30
9 49
40 27
40 36
30 13
11 9
21 41
33 6
41 28
10 22
33 24
44 24
33 33
44 33
2 27
25 29
10 40
37 12
22 23
51 59
14 19
3 28
14 37
26 2
38 4
49 4
36 34
26 11
7 7
36 43
18 16
48 17
17 48
29 13
9 44
28 57
6 29
29 31
40 40
48 53
52 23
44 19
52 32
53 6
44 37
2 31
22 9
45 11
56 11
14 5
51 54
56 20
14 14
43 50
32 59
16 51
59 31
28 25
36 38
17 34
47 47
9 30
47 56
9 39
29 26
9 57
6 42
6 51
52 18
51 31
2 26
25 28
43 36
22 13
36 15
55 28
1 57
47 24
55 37
28 20
47 33
55 46
28 29
36 42
17 38
47 51
58 48
21 8
6 19
58 57
9 52
50 53
52 13
54 32
10 7
33 9
44 9
2 3
2 12
54 59
32 31
43 40
16 32
13 45
24 45
35 45
36 10
17 6
13 54
24 54
35 54
9 11
16 59
55 41
36 37
9 20
17 33
47 46
28 42
6 5
21 3
6 14
29 16
9 47
21 21
21 30
11 56
54 36
54 45
12 39
23 39
31 52
54 54
12 48
13 13
24 13
23 57
13 22
24 22
35 22
16 18
13 40
13 49
24 49
35 49
36 14
46 46
35 58
59 16
5 17
17 19
36 32
46 55
57 55
5 26
17 28
28 28
9 24
48 6
9 33
50 34
21 7
50 43
58 56
8 46
19 46
30 46
54 13
8 55
20 20
30 55
54 22
31 29
2 2
31 38
54 40
51 16
20 47
54 49
20 56
4 39
32 21
23 52
1 24
24 26
13 35
24 35
35 35
16 31
13 44
24 44
35 44
47 9
17 5
46 41
57 41
17 14
58 15
38 46
58 24
7 58
18 58
50 38
42 34
39 10
8 41
30 41
42 43
42 52
19 59
20 24
23 20
20 33
54 35
23 29
54 44
31 51
4 34
32 16
51 29
53 48
4 43
16 8
24 21
53 57
43 34
34 53
55 8
36 4
47 4
47 13
49 41
57 54
26 48
38 50
50 15
58 28
50 24
58 46
50 42
39 5
42 38
19 45
30 54
4 20
23 33
1 5
35 7
4 38
32 20
34 39
1 14
35 16
45 48
22 55
55 3
1 32
15 34
38 36
9 9
15 43
46 58
49 45
50 10
49 54
57 58
42 15
27 26
7 57
50 37
19 31
0 27
42 42
11 45
39 27
30 58
31 23
41 46
11 54
41 55
52 55
31 32
4 15
54 25
34 34
1 9
13 11
24 11
34 43
35 11
46 8
53 47
57 8
16 16
56 52
3 46
49 13
3 55
49 22
49 31
5 6
7 25
15 38
38 40
18 34
49 49
27 12
50 14
8 8
19 8
30 8
42 10
18 52
8 17
19 17
11 13
27 39
11 22
20 9
31 9
54 11
41 41
31 18
11 49
23 14
4 10
23 23
52 59
4 19
45 20
53 42
34 38
46 3
57 3
37 34
22 45
45 47
56 47
3 41
37 43
22 54
38 8
45 56
46 21
15 15
56 56
46 30
57 21
57 30
38 26
49 35
7 29
18 29
15 42
49 44
58 13
8 3
15 51
26 51
30 3
42 14
48 48
8 21
30 21
8 30
30 30
0 26
21 58
11 35
20 13
41 45
23 18
53 19
34 15
45 15
25 46
56 15
22 22
45 24
25 55
56 24
45 33
56 33
37 29
34 42
45 42
46 7
37 38
57 7
22 49
14 45
15 10
46 25
57 25
14 54
55 55
7 15
59 53
58 8
15 37
26 37
27 2
50 4
8 7
30 7
0 12
30 25
11 21
52 31
53 5
10 34
25 32
53 14
10 43
33 45
34 10
2 39
25 41
33 54
22 17
41 58
44 45
14 13
37 15
44 54
3 22
22 35
34 37
22 44
3 40
14 40
37 42
57 20
26 14
7 28
9 56
42 4
40 34
40 43
41 8
29 52
33 13
44 13
21 57
33 22
44 22
25 18
53 9
10 38
33 49
44 49
3 8
37 10
45 23
3 17
14 17
45 32
13 58
3 35
38 2
49 11
36 50
59 52
28 46
18 23
9 42
5 53
28 55
29 20
29 29
19 6
21 25
30 6
0 2
11 2
40 38
41 3
29 47
41 12
21 43
41 21
52 21
10 15
41 30
41 39
49 14
33 35
44 35
10 42
33 44
34 9
44 44
3 3
45 9
22 16
51 52
2 47
32 48
56 9
3 21
3 30
55 31
59 29
15 4
36 36
15 13
47 45
55 58
28 41
18 18
47 54
48 19
5 48
40 15
5 57
40 42
41 7
29 51
52 16
10 10
41 25
2 6
25 8
44 30
2 24
10 37
34 4
22 11
45 13
56 13
3 7
43 43
22 20
32 52
43 52
55 17
35 48
3 25
24 57
47 22
36 40
48 5
59 42
47 49
48 14
40 10
6 17
58 55
40 37
25 3
44 25
20 55
25 21
23 51
32 29
3 2
4 56
37 4
43 38
51 51
3 11
55 21
55 30
59 28
47 35
47 44
58 41
28 49
6 12
9 45
5 56
29 23
58 59
9 54
50 55
21 28
8 58
33 11
44 11
20 41
25 7
43 15
2 23
4 42
31 59
13 20
24 20
32 33
35 20
1 27
14 6
43 42
55 7
32 51
13 47
24 47
35 47
36 12
28 8
13 56
24 56
35 56
16 52
17 17
55 25
59 23
9 13
9 22
17 35
29 18
42 37
50 50
42 46
19 53
54 20
0 49
31 27
10 4
39 49
23 32
20 45
43 10
54 47
51 23
20 54
4 37
54 56
51 32
23 59
13 24
24 24
35 24
43 37
13 33
24 33
35 33
16 29
24 42
28 3
59 18
5 19
28 21
46 57
57 57
28 30
40 4
9 35
50 36
6 11
58 58
19 48
42 50
11 44
39 26
8 57
20 22
30 57
54 24
31 31
54 33
12 27
2 4
12 36
51 18
20 49
31 49
32 23
12 54
4 50
32 32
1 26
13 37
55 15
46 34
47 11
5 5
28 7
36 20
47 20
5 14
17 16
57 52
5 32
18 51
6 6
8 25
50 40
42 36
39 12
0 39
8 52
20 17
20 26
31 26
39 39
20 35
23 31
20 44
4 36
32 18
1 12
24 14
53 50
56 46
1 21
24 23
46 29
1 39
3 58
58 3
38 34
28 11
58 12
38 43
58 21
15 50
26 50
7 46
58 30
7 55
18 55
58 39
27 42
39 7
42 40
30 47
0 43
4 4
39 34
4 13
12 26
33 58
43 4
13 9
24 9
4 40
35 9
13 18
37 37
34 50
16 23
57 24
14 53
49 20
26 27
49 29
58 7
15 36
38 38
18 32
49 47
7 41
18 41
49 56
50 21
58 25
11 11
18 59
11 20
39 2
54 9
31 16
11 47
12 12
52 48
41 57
1 2
25 58
34 36
56 36
1 11
35 13
37 32
45 45
56 45
37 41
45 54
56 54
14 48
37 50
38 15
46 28
57 28
3 57
15 22
26 22
49 24
58 2
49 33
57 46
58 11
15 40
27 5
38 42
19 19
11 15
8 28
30 28
11 24
8 37
11 33
20 11
23 16
52 52
53 17
44 48
53 26
45 22
56 22
2 51
37 18
34 40
53 53
37 36
22 47
45 49
56 49
37 45
38 10
22 56
15 17
57 32
59 51
26 26
38 37
18 31
19 5
19 14
27 27
6 53
52 29
31 6
12 2
52 38
44 34
41 47
25 30
34 8
10 50
37 13
22 24
45 26
25 57
22 33
45 35
56 35
22 42
45 44
56 44
37 40
15 3
26 12
7 8
