# family=structured seed=0
# opt_upper_bound=4
40 501
18 17
7 26
15 39
27 4
0 5
19 18
30 18
11 14
0 23
33 29
25 25
10 36
33 38
34 3
3 6
37 8
22 19
34 21
22 28
3 24
14 24
22 37
37 35
26 7
38 18
18 12
15 25
18 21
18 30
8 4
30 13
33 33
34 7
37 3
22 14
3 19
14 19
37 21
3 28
14 28
3 37
14 37
7 7
26 20
29 13
21 18
29 31
2 13
25 15
2 31
34 11
3 14
14 14
37 16
18 2
7 11
9 39
29 17
21 13
6 24
6 33
21 31
10 12
25 10
2 17
10 39
24 32
3 9
37 11
16 37
36 15
5 27
17 29
9 25
17 38
6 19
29 21
21 17
6 28
29 30
6 37
33 18
10 25
2 21
2 30
22 8
35 27
1 34
13 36
16 32
36 10
17 6
28 6
28 24
17 33
6 14
29 16
29 25
21 21
21 30
39 38
20 34
2 7
25 9
12 39
23 39
2 16
13 13
32 26
13 22
24 22
35 22
13 31
1 38
28 19
9 15
5 26
28 28
28 37
29 2
20 20
31 29
12 25
2 2
31 38
23 34
24 8
35 8
13 17
16 22
24 35
35 35
36 9
5 12
28 14
9 10
9 19
21 2
6 13
39 10
11 37
23 20
31 33
32 7
24 3
35 3
4 34
16 8
13 21
13 30
16 35
5 7
19 27
0 32
12 15
23 24
31 37
4 20
32 11
1 5
24 7
4 38
16 3
32 20
24 16
35 16
16 12
1 23
1 32
26 34
9 9
7 39
27 17
27 26
8 22
19 22
19 31
30 31
0 27
39 9
20 5
0 36
39 18
31 14
12 10
20 23
20 32
32 6
13 2
24 2
34 34
1 9
24 11
35 11
16 16
38 13
15 20
26 29
38 31
7 34
8 8
19 8
30 8
0 4
30 17
11 22
8 35
19 35
20 9
12 5
23 5
31 18
23 23
34 20
1 4
24 6
35 6
15 15
38 17
7 20
26 33
18 29
27 7
18 38
8 3
19 3
11 8
30 21
30 30
0 26
20 4
11 35
31 13
33 32
12 9
4 5
22 22
14 36
15 10
18 6
38 21
38 30
18 33
27 20
11 3
8 16
19 16
11 21
23 4
10 34
37 6
3 13
3 22
14 22
22 35
34 37
37 24
26 5
26 23
26 32
30 2
8 11
19 11
0 7
21 39
11 16
33 13
33 31
22 3
34 5
25 36
3 8
14 8
34 23
37 10
37 19
14 26
37 28
3 35
14 35
38 2
15 9
7 5
7 23
29 29
19 6
29 38
10 15
33 17
25 13
2 29
2 38
3 3
14 3
22 16
37 5
37 14
26 4
36 36
18 18
9 37
6 22
29 33
21 29
21 38
10 10
33 12
33 21
33 30
2 24
34 4
2 33
32 34
22 11
3 7
3 16
14 16
17 18
7 4
5 34
6 8
6 35
21 33
25 12
25 21
22 6
2 37
3 11
14 11
36 8
17 13
28 13
5 20
28 22
5 29
17 31
28 31
9 27
6 3
9 36
6 12
29 14
29 23
21 28
33 2
39 36
10 9
32 15
1 27
13 29
14 6
13 38
36 12
28 8
17 17
9 13
36 39
5 33
28 35
6 7
6 16
29 18
20 27
23 32
2 18
16 11
24 24
35 24
13 33
28 3
36 25
17 21
5 28
17 30
27 34
6 11
39 17
31 31
23 27
4 23
32 5
12 36
4 32
1 8
32 23
16 6
24 19
35 19
32 32
1 26
24 28
35 28
16 24
24 37
35 37
5 5
28 16
9 12
5 23
5 32
6 6
39 12
20 8
0 39
11 39
31 17
20 26
39 39
4 27
13 14
24 14
32 27
35 14
24 23
16 19
16 28
17 2
28 11
5 18
30 29
30 38
0 34
39 25
23 8
31 21
4 4
31 30
23 26
32 4
34 32
1 7
13 9
24 9
35 9
13 18
37 37
16 14
26 27
38 29
5 4
9 2
15 36
38 38
7 32
27 10
8 6
11 11
8 24
19 24
0 20
30 33
20 7
11 38
39 20
20 16
12 12
12 21
4 17
4 26
34 27
1 20
14 39
38 15
15 22
38 33
7 27
27 5
18 36
27 23
11 6
8 19
19 19
27 32
19 28
8 28
30 28
11 24
8 37
19 37
31 2
39 15
23 7
4 3
23 16
26 17
18 13
26 26
18 31
8 14
19 14
27 27
0 10
11 19
0 28
11 28
4 7
25 39
22 24
34 26
37 22
15 12
