# family=structured seed=1
# opt_upper_bound=10
100 1959
78 68
97 81
17 58
36 71
83 3
60 19
52 15
29 68
85 84
13 65
59 32
1 90
7 21
18 30
9 67
83 16
48 58
40 54
52 28
72 6
45 25
85 61
78 22
23 86
15 2
59 45
70 54
98 36
90 32
63 15
69 94
81 68
54 51
27 97
19 93
25 24
53 6
31 67
51 45
14 14
17 25
7 11
47 47
5 50
71 32
69 71
80 80
41 9
93 19
44 14
10 21
42 90
2 17
8 97
54 64
34 6
31 80
32 45
3 18
35 50
1 57
87 97
88 62
37 96
57 74
63 5
36 51
77 52
90 22
69 48
5 63
6 28
81 58
0 70
74 19
19 83
20 48
11 79
97 2
43 31
12 80
16 50
35 63
76 64
88 75
99 84
6 5
49 83
77 65
15 90
21 21
61 57
81 35
93 9
62 58
8 87
54 54
94 90
19 96
20 61
60 97
66 28
52 93
24 31
43 44
16 27
55 18
87 87
34 81
53 94
45 90
5 17
7 63
80 47
26 76
81 48
54 31
73 44
23 43
83 94
35 17
96 33
33 93
34 58
99 38
56 76
17 5
28 14
68 50
34 94
80 24
26 53
5 30
50 38
69 51
62 12
7 76
80 60
19 50
20 15
31 24
75 67
94 80
95 45
20 51
60 87
72 61
76 31
87 77
47 4
5 7
92 12
57 54
3 83
89 86
15 57
26 66
27 31
71 74
83 48
62 25
12 24
52 60
85 8
35 7
95 58
88 19
25 79
37 53
10 99
57 31
14 69
67 81
18 39
92 25
79 55
70 86
98 68
19 40
40 99
60 77
72 51
76 21
22 50
34 61
74 97
25 92
98 45
55 83
80 27
8 8
59 90
79 68
70 99
63 60
8 44
0 40
41 41
87 8
11 49
12 14
4 10
23 23
64 24
21 99
54 96
87 44
74 74
53 51
44 82
46 12
10 89
51 90
56 56
86 84
18 29
98 58
89 89
91 19
42 14
0 17
60 31
71 77
72 5
75 47
95 25
34 15
93 64
39 93
45 24
72 41
64 37
65 2
2 62
76 11
13 77
86 61
32 90
16 82
82 27
18 42
5 72
79 58
91 32
77 97
60 44
6 73
25 23
72 18
2 39
14 13
33 63
25 59
66 60
46 2
37 33
89 43
35 72
78 70
79 35
91 9
36 73
28 69
48 47
41 8
52 17
44 13
63 63
41 44
33 40
34 5
73 76
93 54
3 17
85 86
97 60
77 87
83 18
80 92
6 63
52 30
62 80
39 96
86 28
31 92
24 53
35 62
36 27
15 4
65 90
71 21
16 85
57 86
63 17
77 64
40 33
26 98
5 75
92 80
10 10
27 99
97 14
3 7
43 43
35 39
95 90
96 55
12 92
53 93
70 33
16 62
35 75
76 76
96 91
6 17
92 57
57 99
49 95
77 77
29 37
69 73
80 82
41 11
39 50
44 16
30 81
50 96
54 66
31 82
72 83
24 43
28 13
46 67
58 41
63 7
28 49
21 10
38 99
54 43
74 21
25 16
11 81
24 20
87 76
12 82
99 50
72 96
64 92
17 17
76 66
6 7
98 90
50 50
62 24
27 66
0 49
11 58
39 40
44 6
83 83
66 30
53 60
32 37
84 84
34 83
92 24
49 62
50 27
68 75
77 44
81 14
27 43
19 39
30 48
91 64
42 59
8 66
54 33
94 69
74 11
93 24
66 7
39 53
85 20
43 23
84 61
75 92
87 66
53 73
45 69
17 7
92 37
50 40
90 76
69 53
8 43
26 91
1 3
12 49
13 14
52 85
32 27
72 63
24 23
64 59
10 88
16 19
56 55
76 33
86 83
65 60
89 88
68 65
80 39
81 4
18 64
19 29
79 80
63 72
91 54
94 59
60 66
45 59
77 11
61 3
80 16
26 45
58 34
71 53
36 95
82 62
61 39
94 36
0 29
20 7
6 72
31 16
23 12
53 40
45 36
65 14
10 78
2 74
76 23
49 6
34 63
67 60
46 37
24 98
58 11
97 82
42 3
61 16
27 23
59 92
19 19
30 28
71 66
91 44
9 91
0 42
33 39
12 16
52 52
22 29
25 71
53 53
85 85
32 79
56 58
3 52
7 22
86 86
18 31
59 69
78 82
70 78
30 5
89 91
17 72
98 60
94 26
6 62
72 7
83 53
29 82
81 92
87 23
34 17
52 65
45 26
64 39
51 69
2 64
76 13
16 84
35 97
36 62
7 35
19 9
11 5
63 52
69 95
95 4
33 29
25 25
4 2
44 38
62 92
46 4
32 69
51 82
3 42
59 59
70 68
71 33
21 32
92 92
50 95
54 65
87 13
73 78
34 7
51 59
43 55
14 28
59 36
78 49
71 10
63 6
36 52
76 88
55 65
88 99
61 81
33 19
93 33
44 28
62 82
20 85
66 52
85 65
59 13
32 59
51 72
70 22
35 64
55 42
48 3
5 41
17 52
77 66
68 97
15 91
94 6
81 36
60 13
92 82
69 98
42 81
8 88
81 72
93 46
39 75
12 58
32 36
35 41
53 95
59 26
32 72
24 68
96 93
1 84
47 51
88 89
6 19
62 36
8 65
27 78
33 9
73 45
74 10
93 23
11 70
91 99
51 26
2 21
95 69
74 46
86 20
23 80
84 96
17 6
96 70
1 61
88 66
17 42
49 74
26 90
39 29
58 79
30 60
50 75
10 2
61 84
74 23
60 88
85 32
13 13
32 26
23 57
35 31
95 82
88 43
34 72
46 46
64 94
37 77
70 25
3 84
36 32
22 97
28 28
14 93
48 6
92 49
38 78
42 48
61 61
19 64
20 29
12 25
51 16
43 12
94 94
95 59
1 15
52 97
99 29
16 31
35 44
76 45
53 98
45 94
98 69
21 2
39 19
29 91
95 36
24 12
43 25
75 94
96 37
99 42
61 15
80 28
38 68
62 16
7 80
0 41
18 89
19 54
91 79
23 24
1 5
52 87
24 25
3 51
68 31
14 60
5 11
46 49
86 85
92 16
98 59
69 32
15 61
81 6
39 9
94 61
95 26
40 90
20 32
6 97
44 60
84 53
35 11
38 22
77 13
89 67
7 34
27 12
19 8
78 94
91 33
8 35
72 19
33 64
52 77
99 9
85 74
2 76
15 15
66 97
97 84
90 45
61 18
48 48
27 25
0 8
18 56
59 94
79 72
11 17
30 30
9 93
83 42
94 51
41 45
81 81
33 41
52 54
44 50
93 91
45 51
46 16
51 94
57 25
98 26
49 21
1 93
67 75
27 2
63 41
84 20
75 51
41 58
87 25
33 54
73 90
20 84
25 50
53 32
74 91
66 87
18 10
32 94
82 31
28 60
47 73
6 41
11 7
52 8
29 61
95 6
41 35
6 77
52 44
25 27
45 5
32 71
78 38
97 51
43 80
16 63
89 47
15 18
88 88
70 70
91 13
80 83
41 12
37 14
97 28
35 53
14 30
66 77
67 42
24 80
17 41
76 90
9 37
58 78
50 74
8 77
39 64
44 30
14 7
23 92
64 93
88 78
71 25
63 21
91 3
77 68
68 99
40 37
60 15
44 7
91 88
42 83
2 10
61 96
20 64
11 95
39 77
32 38
51 51
84 85
95 94
45 93
79 6
71 2
48 18
26 79
38 90
49 99
27 80
66 8
11 72
39 54
31 50
43 24
33 96
66 44
67 9
32 51
23 82
16 43
28 17
46 71
63 11
9 40
49 76
68 89
7 79
31 27
10 4
74 25
4 46
23 59
24 24
97 8
84 75
34 74
64 96
57 57
77 35
22 99
28 30
15 60
81 5
26 69
6 11
79 81
58 58
98 94
49 89
90 90
61 63
48 93
81 41
74 2
12 27
4 23
91 91
87 57
13 28
25 82
53 64
70 4
76 47
58 35
50 31
21 4
8 34
39 21
30 52
71 90
63 86
29 93
54 37
94 73
95 38
43 27
84 65
96 39
33 99
45 73
92 5
17 11
97 83
3 76
26 59
27 24
18 55
17 96
50 44
90 80
48 83
54 14
20 21
12 17
83 77
84 42
75 73
95 51
88 12
34 41
72 67
65 28
10 92
16 23
15 27
80 7
26 36
97 96
58 25
19 33
31 7
21 79
94 63
40 92
52 66
64 40
2 65
96 29
68 10
1 20
33 89
74 90
99 34
85 99
86 64
38 24
89 69
7 36
11 6
42 30
29 60
41 34
6 76
31 20
23 16
10 46
29 96
21 92
34 31
25 62
49 10
14 52
26 26
98 51
17 63
36 76
82 43
28 72
8 14
94 17
27 27
11 19
75 40
21 69
94 53
87 14
60 60
44 52
72 34
93 93
78 50
97 63
43 92
3 56
36 53
27 4
18 35
59 73
17 76
82 56
21 46
40 59
72 11
56 3
20 86
25 52
65 8
23 91
51 73
18 12
24 92
89 72
28 62
47 75
94 7
60 14
33 33
73 69
25 29
85 43
10 49
51 50
14 19
20 99
66 66
13 60
4 91
32 73
79 5
98 18
43 82
16 65
89 49
55 56
1 85
99 99
92 60
58 67
9 62
29 40
69 76
27 79
50 99
34 11
39 89
67 8
31 85
97 30
88 67
99 76
24 82
70 49
9 39
82 23
28 52
80 62
21 49
61 85
81 63
27 92
0 75
33 23
73 59
93 37
30 97
31 62
59 17
36 33
76 69
38 79
62 27
73 36
6 46
52 13
93 14
44 9
51 17
94 95
0 88
12 62
32 40
51 53
24 36
16 32
28 6
53 99
45 95
92 27
37 91
71 4
76 82
9 29
28 42
29 7
68 78
81 17
5 58
61 75
27 82
93 27
30 87
83 99
95 73
1 29
67 11
53 76
4 71
24 49
35 58
76 59
77 24
1 65
5 35
77 60
15 85
7 81
81 30
26 94
27 59
73 26
20 20
39 33
23 25
42 75
2 2
75 72
41 79
64 62
43 39
35 35
76 36
95 86
88 47
45 85
9 19
68 68
14 97
7 58
81 7
98 96
30 41
91 57
42 52
40 91
74 4
20 33
93 17
30 77
91 93
43 16
94 98
13 30
4 61
44 97
72 79
70 6
56 71
77 14
22 78
28 9
69 10
37 94
70 91
98 73
90 69
36 98
27 49
73 16
11 41
30 54
63 88
33 65
66 13
53 43
24 16
16 12
56 48
76 26
55 3
68 22
53 79
37 71
9 9
68 58
14 87
8 13
67 99
18 57
19 22
59 95
11 18
90 82
91 47
42 42
8 49
31 32
64 29
75 75
95 53
99 23
44 87
65 30
38 13
51 95
97 62
2 90
3 55
22 68
68 35
27 3
18 34
30 8
71 46
90 59
36 88
28 84
81 10
73 6
30 44
83 56
60 72
53 33
10 71
3 32
88 27
66 88
86 66
32 95
78 62
49 35
90 36
14 77
7 38
47 74
26 51
27 16
67 89
79 63
71 59
91 37
28 97
29 62
21 58
40 71
87 3
60 49
64 19
56 15
22 22
54 91
66 65
86 43
97 52
49 12
55 55
67 66
98 53
29 39
94 19
40 48
60 26
92 95
9 97
29 75
21 71
95 20
81 85
93 59
3 22
85 91
51 98
79 17
70 48
97 65
90 26
82 22
79 53
71 49
9 74
28 87
94 32
52 35
64 9
54 81
14 8
73 94
45 32
24 58
49 2
14 44
7 5
28 64
29 29
48 42
60 16
52 12
44 8
42 84
62 62
73 71
25 31
44 44
86 10
37 5
56 18
84 86
95 95
12 97
32 75
78 42
79 7
97 55
70 38
98 20
16 67
36 45
82 12
96 96
92 62
38 91
63 35
9 64
29 42
6 58
93 26
2 24
74 49
93 62
66 45
39 91
12 74
99 78
5 34
16 80
76 94
49 77
82 25
29 19
15 84
6 35
50 78
8 81
93 39
35 34
87 81
66 58
13 52
99 55
16 57
56 93
36 35
55 48
96 86
6 12
57 94
98 95
9 54
41 6
33 2
11 63
44 11
0 90
95 98
28 8
99 68
46 62
92 29
37 93
17 35
63 2
28 44
29 9
69 45
15 74
40 18
80 54
58 72
30 53
50 68
27 84
0 67
73 51
93 29
23 50
51 32
43 28
35 24
96 40
59 9
4 73
65 52
56 83
77 26
22 90
80 31
38 71
57 84
80 67
81 32
26 96
12 18
30 66
31 31
23 27
2 4
83 78
41 81
13 19
99 22
32 32
24 28
64 64
16 24
