# family=hard seed=0
20 118
4 9
3 13
5 10
8 9
0 5
11 14
2 11
1 15
13 17
7 10
18 19
3 6
14 15
8 11
9 10
0 7
11 16
1 8
1 17
7 12
3 17
5 14
0 9
1 10
15 18
16 17
12 13
3 10
5 7
0 2
3 19
4 18
9 14
10 15
1 12
16 19
7 16
12 15
3 12
4 11
5 18
9 16
10 17
1 14
2 13
7 9
3 5
12 17
4 13
2 6
1 16
13 18
2 15
7 11
3 16
5 13
14 16
8 15
10 12
1 9
1 18
4 8
3 18
14 18
4 17
0 4
8 17
10 14
2 10
2 19
6 19
7 18
3 11
4 10
4 19
1 4
0 6
2 3
9 18
11 15
6 12
3 4
12 16
4 12
1 6
0 8
2 5
9 11
10 18
6 14
7 13
4 14
0 1
5 15
8 14
10 11
2 7
0 19
2 16
11 19
6 7
15 19
6 16
7 15
4 7
4 16
5 8
0 3
5 17
8 16
10 13
0 12
2 9
11 12
2 18
13 15
6 9
7 8
