# family=hard seed=0
30 281
15 21
6 18
16 20
16 29
4 9
7 26
5 10
8 9
20 29
22 26
3 22
5 19
8 18
14 22
23 25
11 14
5 28
9 26
0 23
1 15
13 17
6 11
7 10
10 27
13 26
6 20
15 23
16 22
24 26
7 28
18 28
12 18
3 15
14 15
22 28
0 7
2 4
3 24
14 24
0 16
9 28
10 20
1 17
15 16
6 13
10 29
13 28
15 25
2 25
16 24
7 21
3 8
20 24
12 20
3 17
5 14
12 29
14 26
5 23
4 25
8 25
10 22
1 19
13 21
16 17
2 27
16 26
7 23
18 23
12 13
3 10
5 7
6 27
20 26
22 23
0 2
3 19
14 19
3 28
14 28
4 27
10 15
1 12
13 14
8 27
10 24
13 23
19 27
2 20
16 19
12 15
3 12
5 9
4 11
21 27
12 24
14 21
5 18
9 16
4 29
1 5
19 20
10 17
1 14
2 13
8 29
7 9
1 23
10 26
2 22
16 21
19 29
24 25
17 22
3 5
6 22
20 21
12 17
5 11
22 27
21 29
12 26
3 23
4 22
1 7
2 6
8 22
10 19
1 16
11 18
13 18
7 11
1 25
0 27
10 28
25 26
3 7
6 24
4 6
20 23
12 19
3 16
5 13
4 15
21 22
12 28
14 25
23 28
10 12
1 9
0 11
2 8
17 27
10 21
1 18
0 20
2 17
9 23
11 20
19 24
0 29
2 26
6 8
11 29
6 17
15 29
3 9
5 6
4 8
6 26
12 21
14 18
20 25
21 24
4 26
1 2
0 4
17 20
8 17
10 14
0 13
2 10
17 29
10 23
9 25
0 22
19 26
27 28
28 29
2 28
6 10
13 25
15 22
7 18
12 14
3 11
6 28
4 10
18 27
12 23
21 26
4 19
4 28
1 4
0 6
2 3
5 20
8 19
1 13
9 18
2 12
5 29
8 28
9 27
0 24
10 25
6 12
13 27
3 4
18 20
12 16
4 12
7 29
18 29
21 28
8 12
22 29
9 11
0 8
5 22
19 21
10 18
9 20
0 17
11 17
9 29
11 26
2 23
13 20
15 17
6 14
13 29
15 26
6 23
16 25
4 5
18 22
4 14
0 1
5 15
8 14
0 10
3 27
5 24
8 23
9 22
0 19
0 28
6 7
13 22
6 16
16 18
7 15
6 25
4 7
7 24
5 8
3 20
5 17
8 16
17 19
9 15
3 29
11 12
17 28
19 25
9 24
11 21
2 18
6 9
1 22
