# family=hard seed=0
100 3055
13 88
24 97
16 93
36 71
55 84
47 80
8 9
0 5
5 83
11 14
9 90
29 68
21 64
40 77
41 42
33 38
25 34
44 47
10 54
2 50
3 15
22 28
14 24
66 71
13 65
4 96
24 74
16 70
35 83
36 48
15 25
55 61
1 90
7 21
47 57
18 30
5 60
70 77
9 67
29 45
69 81
21 41
80 90
6 61
2 27
81 91
73 87
20 81
12 77
32 55
23 86
51 68
3 28
43 64
14 37
1 67
66 84
13 78
32 91
24 87
16 83
17 48
35 96
36 61
5 73
6 38
58 85
50 81
69 94
42 77
21 54
61 90
27 97
19 93
31 67
2 40
62 91
12 90
13 55
4 86
51 81
24 64
43 77
17 25
36 38
28 34
1 80
7 11
46 88
58 62
9 57
49 93
50 58
29 35
69 71
61 67
7 96
40 44
27 74
58 98
50 94
10 21
91 95
42 90
2 17
62 68
8 97
0 93
73 77
13 32
32 45
23 76
51 58
84 92
16 37
1 57
34 91
13 68
4 99
37 96
76 87
28 47
68 83
26 86
5 63
6 28
38 97
58 75
50 71
61 80
0 70
19 83
20 48
11 79
39 61
30 92
31 57
23 53
2 30
1 34
12 80
13 45
53 81
4 76
72 94
64 90
16 50
1 70
5 40
46 78
38 74
57 87
9 47
49 83
68 96
8 51
30 69
31 34
2 7
0 83
19 96
12 57
13 22
52 93
4 53
32 35
24 31
64 67
43 44
16 27
34 81
53 94
5 17
46 55
37 86
38 51
56 99
17 28
57 64
3 93
65 68
76 77
28 37
26 76
27 41
6 18
18 72
79 88
58 65
30 46
90 97
42 57
61 70
7 99
8 64
11 69
12 34
39 51
31 47
4 30
23 43
41 97
1 24
33 93
34 58
13 35
25 89
4 66
45 67
53 71
16 40
3 70
14 79
26 53
38 64
57 77
49 73
15 80
7 76
0 37
18 85
19 50
11 46
30 59
71 97
21 96
60 87
52 83
44 79
22 60
1 37
34 71
45 80
5 7
37 76
38 41
56 89
3 83
22 96
14 92
26 66
27 31
19 27
71 74
50 51
42 47
82 83
8 54
48 90
0 50
40 86
19 63
20 28
6 93
12 24
52 60
31 37
4 20
75 80
41 87
1 14
33 83
52 96
53 61
45 57
85 93
37 53
56 66
2 95
3 60
22 73
14 69
86 94
18 39
59 77
36 93
15 70
8 31
27 44
19 40
79 91
71 87
29 90
40 99
41 64
33 60
52 73
25 56
10 76
2 72
22 50
34 61
74 97
25 92
66 93
45 70
3 73
55 83
7 43
47 79
0 4
18 52
59 90
17 93
9 89
29 67
8 44
48 80
40 76
6 83
44 46
41 77
1 4
33 73
34 38
44 82
45 47
37 43
10 89
51 90
43 86
14 59
7 20
67 71
59 67
17 70
36 83
55 96
7 56
48 57
19 30
5 95
11 26
71 77
63 73
29 80
60 67
33 50
6 96
52 63
39 93
44 59
10 66
2 62
3 27
22 40
14 36
74 87
66 83
13 77
32 90
37 56
3 63
16 82
43 99
35 95
36 60
15 37
55 73
67 84
17 83
9 79
77 97
29 57
2 39
54 86
25 59
2 75
3 40
43 76
22 53
35 72
1 79
18 19
24 99
36 73
9 56
55 86
29 34
8 11
6 50
58 97
9 92
10 20
29 70
42 89
62 67
8 96
41 44
33 40
73 76
25 36
39 83
44 49
10 56
2 52
22 30
13 67
4 98
32 80
24 76
43 89
16 72
28 46
7 23
47 59
59 70
6 27
38 96
58 74
28 82
29 47
69 83
27 86
10 33
62 80
54 76
12 79
31 92
43 66
35 62
13 80
16 85
36 63
9 46
76 99
28 59
68 95
26 98
5 75
6 40
58 87
69 96
42 79
61 92
8 86
0 82
20 60
11 91
39 73
31 69
23 65
2 42
35 39
12 92
13 57
4 88
32 70
43 79
16 62
56 98
9 23
1 82
47 49
5 52
6 17
46 90
38 86
57 99
49 95
50 60
29 37
21 33
7 98
80 82
19 72
39 50
30 81
31 46
50 96
10 23
2 19
62 70
0 95
20 73
39 86
31 82
4 65
32 47
51 60
24 43
43 56
16 39
1 59
87 99
34 93
5 29
65 80
16 75
9 36
49 72
15 79
26 88
18 84
38 99
58 77
42 69
61 82
0 72
19 85
20 50
11 81
12 46
30 94
4 42
23 55
12 82
13 47
53 83
4 78
72 96
9 13
46 80
6 7
38 76
57 89
49 85
15 92
7 88
8 53
27 66
0 49
18 97
19 62
20 27
11 58
39 40
23 32
75 79
0 85
20 63
60 99
11 94
52 95
13 24
53 60
72 73
23 68
24 33
10 98
16 29
43 46
1 49
87 89
45 92
5 19
46 57
37 88
57 66
49 62
68 75
26 78
6 20
18 74
19 39
79 90
30 48
71 86
42 59
82 95
40 98
20 40
60 76
12 36
31 49
4 32
83 96
33 95
34 60
13 37
25 91
72 86
45 69
56 78
3 72
14 81
15 46
34 96
26 55
67 93
5 32
38 66
70 98
49 75
26 91
27 56
0 39
30 61
41 76
1 3
33 72
12 49
25 68
52 85
4 45
45 46
10 88
16 19
1 39
14 58
34 73
45 82
37 78
38 43
78 79
3 85
15 59
55 95
8 20
26 68
27 33
18 64
19 29
79 80
11 25
30 38
71 76
63 72
42 49
82 85
29 79
8 56
48 92
0 52
41 53
20 30
60 66
6 95
11 61
31 39
4 22
44 58
23 35
75 82
41 89
1 16
33 85
34 50
74 86
53 63
93 99
44 94
37 55
2 97
3 62
7 32
67 83
59 79
38 56
78 92
70 88
36 95
28 91
7 68
48 69
27 46
40 65
19 42
6 72
30 51
71 89
60 79
52 75
44 71
10 78
2 74
3 39
14 48
34 63
66 95
37 68
24 98
3 75
36 72
7 45
8 10
26 58
47 81
0 6
59 92
67 96
11 15
9 91
48 82
21 65
40 78
41 43
4 12
44 48
22 29
54 98
33 75
34 40
66 72
37 45
51 92
56 58
22 65
35 84
15 26
55 62
7 22
18 31
9 68
29 46
48 59
40 55
6 62
63 75
29 82
62 79
41 56
81 92
33 52
25 48
44 61
10 68
51 69
2 64
3 29
14 38
74 89
66 85
85 98
13 79
24 88
16 84
15 39
7 35
47 71
18 44
59 82
17 85
9 81
77 99
28 94
48 72
61 91
6 75
2 41
62 92
54 88
20 95
25 61
12 91
32 69
51 82
3 42
43 78
35 74
14 51
15 16
7 12
13 92
18 21
16 97
17 62
