# family=hard seed=2
100 3361
13 88
24 97
16 93
17 58
36 71
28 67
29 32
47 80
8 9
40 41
5 83
6 48
11 14
58 95
9 90
50 91
73 74
6 84
44 47
22 28
14 24
74 75
4 96
32 78
24 74
16 70
35 83
36 48
15 25
55 61
1 90
88 95
96 99
18 30
46 98
70 77
17 71
36 84
77 85
28 80
29 45
21 41
40 54
80 90
6 61
10 31
2 27
81 91
54 74
73 87
25 47
31 90
32 55
23 86
51 68
3 28
43 64
35 60
14 37
1 67
66 84
65 88
17 48
35 96
36 61
9 44
76 97
28 57
68 93
5 73
6 38
58 85
77 98
69 94
8 84
27 97
19 93
11 89
10 44
2 40
3 5
62 91
54 87
20 94
12 90
13 55
4 86
32 68
51 81
24 64
16 60
17 25
35 73
36 38
28 34
1 80
7 11
5 50
6 15
38 84
17 61
57 97
58 62
9 57
49 93
50 58
29 35
21 31
61 67
40 44
27 74
6 51
39 48
58 98
50 94
10 21
91 95
2 17
54 64
0 93
20 71
39 84
12 67
13 32
31 80
4 63
32 45
23 76
24 41
51 58
43 54
16 37
84 92
87 97
34 91
13 68
4 99
5 27
37 96
16 73
57 74
36 51
9 34
28 47
68 83
26 86
5 63
6 28
38 97
50 71
69 84
42 67
61 80
39 61
12 44
30 92
31 57
23 53
2 30
12 80
13 45
53 81
4 76
32 58
24 54
64 90
56 86
22 93
1 70
46 78
65 91
57 87
9 47
68 96
42 44
15 90
7 86
8 51
27 64
19 60
31 34
10 11
42 80
2 7
8 87
0 83
19 96
20 61
60 97
11 92
52 93
13 22
31 70
32 35
23 66
24 31
64 67
43 44
16 27
1 47
34 81
53 94
45 90
46 55
65 68
38 51
56 99
17 28
57 64
3 93
9 24
49 60
28 37
68 73
76 77
15 67
7 63
26 76
27 41
18 72
79 88
58 65
30 46
50 61
90 97
82 93
61 70
7 99
0 60
19 73
20 38
60 74
11 69
12 34
30 82
31 47
4 30
39 51
23 43
83 94
41 97
1 24
33 93
34 58
13 35
25 89
4 66
45 67
53 71
24 44
72 84
16 40
3 70
22 83
14 79
34 94
26 53
5 30
46 68
37 99
38 64
49 73
15 80
8 41
27 54
0 37
19 50
11 46
30 59
63 93
21 96
41 74
20 51
33 70
52 83
4 43
23 56
10 86
22 60
34 71
53 84
38 41
3 83
9 14
22 96
49 50
7 53
26 66
27 31
18 62
30 36
50 51
63 70
42 47
8 54
48 90
40 86
19 63
60 64
6 93
11 59
12 24
4 20
23 33
83 84
75 80
41 87
1 14
33 83
34 48
52 96
25 79
53 61
44 92
45 57
72 74
64 70
10 99
16 30
56 66
3 60
22 73
14 69
15 34
26 43
67 81
46 58
18 39
78 90
70 86
89 99
36 93
7 66
8 31
27 44
0 27
19 40
79 91
11 36
30 49
63 83
82 96
21 86
12 37
52 73
4 33
44 69
10 76
14 46
34 61
74 97
45 70
3 73
15 47
7 43
47 79
26 56
67 94
0 4
18 52
59 90
11 13
9 89
29 67
8 44
21 63
48 80
0 40
40 76
6 83
12 14
4 10
44 46
10 53
1 4
54 96
33 73
45 47
10 89
51 90
3 50
43 86
22 63
14 59
7 20
18 29
70 76
17 70
36 83
55 96
28 79
7 56
8 21
47 92
48 57
0 17
19 30
5 95
6 60
71 77
63 73
29 80
21 76
40 89
41 54
81 90
60 67
33 50
6 96
73 86
25 46
44 59
2 62
3 27
22 40
14 36
34 51
74 87
66 83
85 96
13 77
24 86
3 63
16 82
43 99
36 60
15 37
7 33
47 69
67 84
18 42
70 89
17 83
77 97
29 57
69 93
48 70
40 66
6 73
10 43
2 39
54 86
12 89
32 67
51 80
2 75
43 76
22 53
35 72
1 79
7 10
66 96
24 99
17 60
36 73
9 56
47 82
8 11
0 7
40 43
5 85
6 50
11 16
9 92
50 93
10 20
29 70
42 89
21 66
62 67
8 96
41 44
33 40
73 76
39 83
44 49
31 79
10 56
2 52
22 30
54 99
74 77
66 73
85 86
13 67
24 76
43 89
16 72
35 85
36 50
55 63
1 92
47 59
88 97
59 70
5 62
6 27
38 96
17 73
58 74
77 87
28 82
21 43
40 56
6 63
30 91
10 33
2 29
62 80
81 93
54 76
20 83
39 96
31 92
4 75
32 57
23 88
24 53
3 30
43 66
35 62
1 69
13 80
65 90
17 50
57 86
36 63
9 46
76 99
28 59
26 98
5 75
6 40
58 87
69 96
42 79
8 86
0 82
19 95
20 60
25 26
39 73
32 34
23 65
20 96
12 92
13 57
53 93
4 88
32 70
24 66
16 62
17 27
56 98
36 40
9 23
28 36
1 82
47 49
5 52
6 17
57 99
9 59
49 95
29 37
69 73
7 98
80 82
19 72
39 50
30 81
31 46
50 96
91 97
42 92
2 19
83 93
62 70
54 66
20 73
39 86
12 69
13 34
31 82
4 65
32 47
23 78
51 60
43 56
84 94
87 99
34 93
5 29
37 98
65 80
16 75
17 40
9 36
68 85
15 79
26 88
6 30
18 84
38 99
58 77
69 86
42 69
8 76
0 72
19 85
20 50
11 81
39 63
31 59
1 36
12 82
13 47
53 83
4 78
45 79
64 92
16 52
22 95
14 91
46 80
38 76
49 85
42 46
15 92
21 23
7 88
8 53
27 66
0 49
19 62
39 40
30 71
10 13
8 89
54 56
0 85
41 86
20 63
11 94
53 60
32 37
72 73
24 33
10 98
16 29
43 46
35 42
1 49
87 89
34 83
53 96
45 92
5 19
46 57
65 70
38 53
17 30
57 66
3 95
49 62
76 79
68 75
15 69
7 65
27 43
6 20
18 74
19 39
79 90
30 48
50 63
90 99
82 95
8 66
0 62
40 98
19 75
20 40
60 76
39 53
12 36
31 49
23 45
83 96
75 92
34 60
25 91
53 73
72 86
64 82
37 65
56 78
3 72
22 85
14 81
34 96
26 55
67 93
5 32
46 70
38 66
70 98
15 82
7 78
8 43
26 91
27 56
0 39
18 87
11 48
12 13
30 61
71 99
21 98
41 76
33 72
12 49
13 14
25 68
4 45
44 81
45 46
10 88
16 19
2 84
22 62
1 39
14 58
45 82
5 9
46 47
37 78
3 85
9 16
22 98
49 52
14 94
15 59
7 55
26 68
27 33
18 64
19 29
79 80
11 25
30 38
71 76
63 72
42 49
82 85
29 79
0 52
40 88
41 53
20 30
60 66
6 95
12 26
52 62
31 39
44 58
23 35
10 65
75 82
41 89
1 16
34 50
74 86
25 81
53 63
44 94
45 59
85 95
64 72
37 55
93 99
3 62
22 75
14 71
7 32
67 83
18 41
59 79
38 56
70 88
36 95
7 68
48 69
27 46
40 65
19 42
6 72
30 51
71 89
63 85
29 92
41 66
60 79
