# family=structured seed=1
# opt_upper_bound=2
20 204
12 4
18 17
17 3
5 10
8 9
10 6
9 8
2 2
5 19
8 18
9 17
0 14
11 14
15 5
6 2
16 13
7 10
4 2
7 19
17 5
19 2
3 15
5 12
8 11
17 14
2 4
11 16
1 8
13 10
6 4
15 7
16 6
1 17
13 19
6 13
15 16
7 12
16 15
18 3
3 8
5 5
14 8
19 4
9 3
3 17
14 17
0 9
11 9
1 10
13 12
6 6
7 5
18 5
18 14
12 13
5 7
17 9
19 6
9 5
0 2
5 16
14 19
9 14
1 3
13 5
15 2
10 15
16 10
7 7
18 7
16 19
7 16
12 6
3 3
14 3
12 15
17 11
5 18
13 7
15 4
1 14
13 16
2 13
15 13
16 12
18 9
18 18
5 2
4 4
3 14
14 14
4 13
9 9
19 13
10 10
15 6
2 6
16 5
7 2
10 19
0 18
2 15
11 18
13 18
18 11
6 15
12 10
5 4
4 6
12 19
14 16
5 13
4 15
13 2
17 18
19 15
10 12
1 9
0 11
11 11
16 7
7 4
1 18
16 16
12 12
3 9
5 6
14 9
3 18
14 18
8 8
10 5
13 4
0 4
8 17
1 11
0 13
2 10
11 13
2 19
6 10
12 5
6 19
12 14
3 11
14 11
4 10
4 19
19 10
10 7
16 2
10 16
9 18
11 15
2 12
19 19
15 15
6 12
12 7
12 16
4 12
8 3
19 12
9 11
0 8
2 5
11 8
16 4
0 17
11 17
6 5
7 13
4 5
17 8
19 5
10 2
5 15
8 14
10 11
17 17
2 7
2 16
13 13
15 10
6 7
7 6
12 2
6 16
15 19
7 15
4 7
4 16
8 7
10 4
19 7
0 3
5 17
11 3
10 13
19 16
13 6
13 15
15 12
18 8
