# family=structured seed=2
# opt_upper_bound=3
30 339
7 26
27 4
19 9
11 5
8 18
11 14
10 27
25 25
4 2
3 6
22 19
3 24
14 24
15 7
7 3
18 3
7 21
18 21
11 9
25 11
2 27
25 29
22 5
22 14
3 19
14 19
3 28
15 2
26 2
7 7
18 7
7 16
18 16
21 18
10 26
22 9
14 5
14 14
3 23
28 25
7 2
29 8
6 24
10 3
10 12
2 26
25 28
22 13
14 9
3 18
17 20
28 29
29 3
21 8
6 19
29 21
2 12
17 6
9 11
5 22
17 24
9 20
6 5
29 7
21 3
6 14
29 16
29 25
21 21
10 2
10 11
13 13
24 13
13 22
24 22
16 18
17 10
28 10
9 6
5 17
17 19
28 28
9 24
6 9
21 7
21 16
20 20
23 25
2 2
1 15
13 17
24 17
24 26
17 5
17 14
28 23
9 19
6 13
20 15
20 24
23 29
1 10
16 8
16 17
5 7
17 9
9 5
28 18
9 14
5 25
27 22
20 19
12 15
16 3
16 21
5 11
9 9
19 13
27 26
19 22
0 27
20 5
20 14
12 10
23 10
4 6
23 19
4 15
12 28
23 28
13 11
24 11
16 7
16 16
5 6
7 25
18 25
27 12
8 8
0 4
19 17
11 13
11 22
20 9
4 10
23 23
1 4
24 6
15 15
26 15
15 24
18 20
7 29
18 29
8 3
27 25
8 21
11 17
0 26
20 4
20 13
23 18
22 22
15 10
26 10
7 6
27 2
8 7
27 20
8 16
0 12
12 4
25 23
22 17
14 13
14 22
18 10
18 19
7 28
18 28
8 2
19 11
25 18
3 8
14 17
7 23
18 23
29 20
29 29
19 6
21 25
0 2
10 15
3 3
3 21
14 21
15 4
26 4
7 9
18 18
6 22
21 29
10 10
25 8
7 8
2 15
25 26
22 11
3 7
22 20
3 16
3 25
6 17
29 19
29 28
25 3
2 10
25 21
2 28
22 6
14 11
17 13
5 20
17 22
29 23
21 28
10 9
25 7
25 16
13 20
24 20
1 27
14 6
16 25
28 8
17 17
9 13
5 24
9 22
29 18
21 23
10 4
25 2
13 6
24 24
13 24
16 29
28 3
5 19
28 21
9 17
6 11
6 20
20 22
12 27
2 4
13 19
24 19
1 26
5 5
28 7
5 14
28 16
27 29
6 6
8 25
20 17
12 13
4 27
13 5
24 5
1 12
13 14
24 14
16 28
5 9
17 11
9 7
5 18
27 15
8 20
19 20
8 29
23 8
4 4
12 17
12 26
23 26
15 12
4 22
13 9
24 9
16 23
26 27
15 27
5 13
27 10
8 6
11 11
19 24
11 20
20 7
23 3
12 12
23 21
4 17
4 26
1 2
7 18
11 6
19 19
0 15
8 28
11 24
20 11
23 7
4 3
23 16
4 12
22 29
26 8
15 26
26 26
27 9
19 5
19 14
27 27
0 10
11 10
8 23
11 19
20 6
12 2
4 7
22 24
14 20
3 29
26 12
18 8
