# family=structured seed=0
# opt_upper_bound=2
20 200
18 17
17 3
17 12
0 5
2 2
5 19
8 18
9 17
0 14
11 5
11 14
19 18
13 8
13 17
6 11
18 10
7 19
3 6
5 3
12 18
8 11
19 11
9 10
0 7
11 7
0 16
11 16
1 8
13 10
6 4
16 6
7 3
16 15
18 12
3 8
5 5
8 4
14 8
19 4
14 17
5 14
9 12
13 12
15 9
6 6
16 8
7 5
1 19
15 18
7 14
12 13
3 10
5 7
17 9
19 6
3 19
5 16
14 19
1 3
15 2
10 15
1 12
7 7
18 7
16 19
7 16
3 3
14 3
17 2
12 15
4 11
11 4
1 5
16 3
10 17
1 14
15 13
2 13
18 9
18 18
3 5
14 5
4 4
12 17
3 14
5 11
14 14
9 9
10 10
1 7
13 9
16 5
10 19
1 16
11 18
2 15
13 18
7 11
16 14
18 2
12 10
3 7
5 4
4 6
14 7
9 2
3 16
14 16
8 6
13 2
17 18
10 12
0 11
11 11
16 7
7 4
2 17
16 16
6 8
12 12
5 6
4 8
8 8
19 8
0 4
1 11
2 10
6 19
3 11
14 11
4 19
17 13
10 7
1 4
0 6
2 3
8 19
11 6
9 18
19 19
2 12
6 3
15 15
3 4
14 4
4 3
8 3
19 3
17 15
10 9
1 6
0 8
11 8
16 4
10 18
11 17
6 5
15 17
6 14
18 13
12 9
14 6
4 5
4 14
8 5
10 2
19 5
17 17
8 14
19 14
9 13
0 19
11 19
13 13
15 10
6 7
7 6
12 2
6 16
18 15
12 11
4 7
4 16
5 8
8 7
17 10
19 7
0 3
11 3
8 16
10 13
9 15
19 16
2 9
2 18
13 15
15 12
6 9
16 11
7 8
