# family=hard seed=2
80 1964
29 32
8 9
0 5
11 14
29 68
40 77
41 42
33 38
25 34
44 47
10 54
22 28
14 24
74 75
13 65
32 78
24 74
16 70
15 25
7 21
47 57
18 30
5 60
70 77
17 71
48 58
21 41
40 54
10 31
2 27
62 78
54 74
32 55
43 64
35 60
14 37
1 67
17 48
36 61
9 44
28 57
47 70
5 73
6 38
42 77
39 71
31 67
3 5
13 55
17 25
35 73
28 34
5 50
6 15
58 62
9 57
50 58
29 35
21 31
61 67
39 48
10 21
73 77
20 71
12 67
4 63
23 76
24 41
3 18
35 50
1 57
5 27
65 78
16 73
57 74
36 51
9 34
5 63
6 28
50 71
42 67
0 70
11 79
12 44
31 57
2 30
13 45
4 76
24 54
16 50
35 63
46 78
38 74
11 56
31 34
2 7
20 61
12 57
31 70
32 35
23 66
43 44
1 47
65 68
38 51
57 64
76 77
9 24
49 60
68 73
15 67
26 76
6 18
18 72
58 65
30 46
50 61
42 57
61 70
19 73
20 38
31 47
23 43
1 24
53 71
45 67
37 63
16 40
3 70
14 79
5 30
46 68
38 64
7 76
27 54
19 50
11 46
0 73
20 51
4 43
23 56
37 76
38 41
49 50
15 57
7 53
26 66
18 62
30 36
71 74
50 51
42 47
19 63
60 64
11 59
12 24
39 41
31 37
23 33
1 14
72 74
64 70
56 66
46 58
18 39
49 63
15 70
7 66
8 31
48 67
27 44
0 27
18 75
41 64
60 77
33 60
12 37
25 56
10 76
2 72
22 50
14 46
34 61
45 70
3 73
7 43
0 4
11 13
29 67
8 44
21 63
40 76
4 10
44 46
10 53
41 77
1 4
34 38
25 69
3 50
14 59
7 20
26 33
67 71
18 29
59 67
70 76
17 70
8 21
48 57
0 17
40 53
19 30
71 77
33 50
52 63
44 59
10 66
22 40
14 36
34 51
13 77
37 56
3 63
36 60
15 37
7 33
47 69
18 42
5 72
9 79
29 57
21 53
6 73
2 39
33 63
25 59
32 67
43 76
22 53
14 49
18 19
36 73
9 56
28 69
29 34
8 11
0 7
40 43
10 20
21 66
41 44
73 76
25 36
44 49
31 79
51 57
2 52
3 17
14 26
66 73
24 76
16 72
36 50
55 63
28 46
59 70
5 62
6 27
17 73
9 69
29 47
21 43
61 79
6 63
2 29
54 76
12 79
4 75
32 57
24 53
36 63
2 6
20 60
39 73
31 69
32 34
23 65
2 42
35 39
14 16
16 62
17 27
35 75
9 23
28 36
5 52
6 17
58 64
9 59
21 33
27 76
39 50
31 46
54 66
20 73
13 34
4 65
32 47
23 78
51 60
43 56
16 39
1 59
46 67
57 76
9 36
28 49
15 79
6 30
58 77
42 69
20 50
39 63
12 46
1 36
13 47
45 79
16 52
9 13
5 42
38 76
21 23
27 66
19 62
20 27
11 58
30 71
31 36
10 13
23 32
2 9
75 79
20 63
53 60
4 55
32 37
24 33
43 46
46 57
65 70
38 53
17 30
57 66
9 26
49 62
68 75
15 69
26 78
27 43
6 20
19 39
50 63
8 66
0 62
19 75
20 40
60 76
12 36
31 49
4 32
34 60
13 37
53 73
16 42
3 72
18 51
38 66
8 43
27 56
0 39
19 52
11 48
30 61
41 76
1 3
33 72
12 49
13 14
25 68
4 45
22 62
14 58
34 73
46 47
38 43
78 79
9 16
15 59
7 55
8 20
26 68
27 33
18 64
19 29
30 38
71 76
8 56
20 30
60 66
11 61
12 26
4 22
44 58
23 35
10 65
53 63
45 59
64 72
37 55
56 68
14 71
26 45
18 41
59 79
8 33
48 69
27 46
6 72
41 66
4 35
44 71
10 78
2 74
22 52
14 48
34 63
37 68
3 75
15 49
7 45
8 10
0 6
18 54
11 15
29 69
21 65
0 42
40 78
33 39
12 16
10 55
2 51
22 29
1 6
33 75
74 76
25 71
66 72
45 49
32 79
56 58
55 62
7 22
26 35
67 73
18 31
59 69
70 78
17 72
9 68
8 23
48 59
0 19
40 55
6 62
11 28
63 75
21 78
33 52
52 65
44 61
51 69
2 64
3 29
22 42
14 38
13 79
36 62
15 39
28 58
55 75
7 35
47 71
29 59
48 72
40 68
6 75
10 45
3 6
14 15
25 61
24 65
3 42
35 74
15 16
47 48
17 62
36 75
29 36
48 49
0 9
40 45
10 22
62 69
54 65
44 51
23 77
51 59
22 32
74 79
66 75
13 69
24 78
16 74
17 39
36 52
55 65
47 61
5 64
6 29
17 75
9 71
21 45
39 62
10 35
2 31
54 78
32 59
24 55
43 68
5 41
36 65
9 48
5 77
10 12
2 8
54 55
25 28
39 75
12 58
31 71
23 67
24 32
43 45
35 41
14 18
1 48
13 59
32 72
24 68
16 64
17 29
28 38
68 74
47 51
5 54
6 19
58 66
9 61
69 75
42 58
21 35
61 71
8 65
39 52
10 25
2 21
54 68
13 36
4 67
43 58
35 54
1 61
5 31
38 65
17 42
57 78
9 38
49 74
7 77
58 79
30 60
50 75
42 71
8 78
0 74
12 48
31 61
4 44
23 57
1 38
13 49
37 77
17 19
9 15
49 51
26 67
5 44
50 52
42 48
8 55
20 29
11 60
39 42
30 73
31 38
23 34
1 15
32 39
72 75
24 35
64 71
16 31
35 44
22 74
1 51
5 21
46 59
57 68
9 28
68 77
7 67
8 32
18 76
19 41
30 50
42 61
0 64
60 78
31 51
4 34
23 47
1 28
34 62
37 67
3 74
18 53
8 45
4 11
41 78
33 74
13 16
25 70
45 48
24 25
37 44
16 21
3 51
14 60
26 34
5 11
46 49
57 58
49 54
15 61
7 57
27 35
19 31
11 27
30 40
63 74
21 77
0 54
41 55
60 68
33 51
12 28
4 24
10 67
1 18
34 52
53 65
37 57
56 70
3 64
22 77
14 73
15 38
55 74
26 47
29 58
8 35
0 31
6 74
11 40
41 68
33 64
25 60
44 73
2 76
3 41
22 54
14 50
18 20
36 74
15 51
7 47
0 8
19 21
11 17
63 64
29 71
41 45
33 41
52 54
25 37
4 14
44 50
14 27
34 42
74 78
66 74
45 51
24 77
3 54
55 64
7 24
26 37
18 33
59 71
17 74
9 70
48 61
21 44
0 21
40 57
11 30
10 34
41 58
54 77
25 50
44 63
10 70
51 71
3 31
22 44
14 40
36 64
55 77
28 60
7 37
47 73
6 41
29 61
21 57
40 70
25 27
39 74
10 47
3 8
32 71
3 44
16 63
35 76
15 18
47 50
18 23
59 61
36 77
28 73
69 74
21 34
54 67
20 74
25 40
23 79
3 21
35 53
66 77
36 54
55 67
47 63
5 66
6 31
58 78
9 73
50 74
42 70
21 47
39 64
31 60
13 48
4 79
32 61
24 57
16 53
17 18
1 73
5 43
6 8
38 77
17 54
9 50
28 63
27 67
6 44
30 72
54 57
39 77
4 56
32 38
24 34
3 11
43 47
35 43
1 50
13 61
5 20
65 71
16 66
17 31
9 27
28 40
68 76
26 79
5 56
6 21
50 64
69 77
19 76
20 41
11 72
39 54
31 50
23 46
2 23
20 77
13 38
4 69
32 51
24 47
35 56
5 33
46 71
38 67
49 76
7 79
27 57
19 53
30 62
42 73
0 76
20 54
12 50
31 63
4 46
23 59
16 20
5 10
38 44
17 21
9 17
28 30
6 11
30 39
42 50
8 57
27 70
19 66
39 44
12 27
4 23
23 36
13 28
53 64
72 77
16 33
56 69
5 23
46 61
57 70
68 79
7 69
8 34
27 47
0 30
19 43
30 52
0 66
11 75
52 76
23 49
10 79
1 30
45 73
37 69
7 46
26 59
40 79
20 21
12 17
23 26
1 7
33 76
13 18
25 72
45 50
37 46
16 23
56 59
22 66
14 62
15 27
26 36
5 13
46 51
38 47
49 56
15 63
8 24
19 33
11 29
30 42
21 79
41 57
12 30
25 49
52 66
4 26
10 69
2 65
14 39
34 54
45 63
37 59
14 75
15 40
55 76
48 73
21 56
40 69
6 76
11 42
10 46
41 70
33 66
25 62
44 75
3 43
14 52
15 17
7 13
59 60
17 63
28 72
8 14
48 50
40 46
19 23
6 53
11 19
30 32
63 66
41 47
73 79
4 16
44 52
10 59
2 55
3 20
22 33
34 44
37 49
24 79
3 56
36 53
15 30
55 66
47 62
67 77
59 73
17 76
9 72
21 46
6 66
2 32
54 79
25 52
2 68
3 33
43 69
22 46
35 65
14 42
1 72
36 66
9 49
55 79
47 75
21 59
39 76
10 49
2 45
3 10
22 23
13 60
16 65
35 78
36 43
28 39
7 16
47 52
17 66
9 62
28 75
48 53
21 36
27 79
2 22
54 69
25 42
4 68
51 63
43 59
35 55
14 32
1 62
57 79
36 56
9 39
28 52
47 65
5 68
42 72
21 49
8 79
0 75
39 66
31 62
10 39
23 58
13 50
32 63
43 72
17 20
1 75
38 79
9 52
50 53
21 26
61 62
6 46
19 65
39 43
30 74
62 63
54 59
39 79
13 27
31 75
32 40
72 76
51 53
24 36
13 63
46 60
16 68
17 33
49 65
28 42
68 78
15 72
5 58
6 23
58 70
50 66
69 79
8 69
0 65
19 78
20 43
11 74
12 39
31 52
23 48
13 40
24 49
35 58
5 35
49 78
8 46
11 51
42 75
0 78
20 56
12 52
13 17
31 65
4 48
23 61
16 22
1 42
34 76
5 12
17 23
57 59
49 55
15 62
7 58
6 13
30 41
50 56
42 52
8 59
0 55
19 68
20 33
60 69
39 46
12 29
30 77
31 42
4 25
23 38
34 53
4 61
45 62
64 75
16 35
56 71
3 65
14 74
5 25
38 59
57 72
49 68
15 75
7 71
27 49
0 32
19 45
11 41
41 69
12 42
44 74
2 77
22 55
1 32
34 66
53 79
45 75
37 71
15 52
7 48
26 61
18 57
11 18
30 31
29 72
8 49
0 45
41 46
11 54
52 55
31 32
4 15
34 43
25 74
64 65
37 48
56 61
3 55
22 68
14 64
15 29
7 61
27 39
11 31
30 44
63 78
52 68
25 51
2 67
22 45
14 41
34 56
37 61
3 68
55 78
7 38
18 47
48 75
4 5
10 48
2 44
33 68
25 64
3 45
22 58
14 54
15 19
18 24
59 62
70 71
29 39
8 16
0 12
6 55
11 21
63 68
29 75
21 71
62 72
41 49
33 45
52 58
51 62
22 35
14 31
13 72
36 55
15 32
7 28
47 64
18 37
59 75
5 67
17 78
29 52
48 65
10 38
2 34
25 54
32 62
24 58
3 35
43 71
35 67
14 44
17 55
9 51
28 64
47 77
21 25
6 45
10 15
21 61
54 58
33 35
20 65
25 31
31 74
10 51
23 70
51 52
2 47
3 12
14 21
66 68
13 62
24 71
16 67
55 58
28 41
47 54
5 57
6 22
17 68
9 64
50 65
69 78
21 38
61 74
6 58
39 55
2 24
20 78
12 74
32 52
51 65
24 48
43 61
35 57
1 64
13 75
5 34
46 72
17 45
9 41
49 77
28 54
5 70
6 35
42 74
0 77
39 68
31 64
1 41
13 52
