# family=random seed=2
20 93
0 3
0 4
0 8
0 12
0 13
0 14
0 19
1 2
1 3
1 4
1 5
1 6
1 7
1 11
1 12
1 13
1 14
1 18
2 8
2 11
2 14
2 16
3 4
3 7
3 11
3 12
3 13
3 15
3 17
3 19
4 11
4 12
4 16
5 6
5 8
5 10
5 11
5 13
5 16
5 17
5 19
6 8
6 9
6 10
6 12
6 14
6 16
6 17
6 19
7 8
7 10
7 11
7 13
7 14
7 15
7 18
7 19
8 9
8 10
8 17
8 18
9 10
9 11
9 12
9 14
9 16
9 18
10 11
10 13
10 14
10 16
10 17
10 18
10 19
11 12
11 18
11 19
12 13
12 18
12 19
13 15
13 16
13 17
13 18
14 15
14 16
14 17
14 18
14 19
15 17
15 18
16 17
17 19
