# family=random seed=0
30 213
0 3
0 4
0 6
0 8
0 9
0 13
0 16
0 21
0 25
0 26
0 27
1 3
1 5
1 8
1 10
1 13
1 14
1 16
1 17
1 19
1 21
1 24
1 25
1 26
1 29
2 11
2 13
2 15
2 16
2 17
2 20
2 21
2 29
3 5
3 12
3 17
3 19
3 22
3 24
3 25
3 27
3 29
4 5
4 7
4 12
4 16
4 17
4 19
4 20
4 22
4 23
4 24
4 27
4 28
4 29
5 6
5 7
5 9
5 10
5 12
5 13
5 15
5 16
5 20
5 23
5 26
5 27
5 29
6 7
6 8
6 9
6 12
6 13
6 15
6 17
6 19
6 20
6 21
6 22
6 24
6 25
6 26
7 9
7 10
7 12
7 13
7 14
7 15
7 17
7 20
7 21
7 23
7 25
7 26
7 27
7 28
8 9
8 13
8 14
8 15
8 19
8 22
8 25
8 27
8 28
9 10
9 13
9 14
9 17
9 19
9 21
9 22
9 23
9 24
9 27
10 11
10 13
10 14
10 15
10 21
10 28
11 12
11 14
11 15
11 16
11 19
11 21
11 22
11 24
11 25
11 27
11 28
11 29
12 13
12 14
12 16
12 17
12 18
12 19
12 20
12 22
12 25
12 26
12 28
12 29
13 18
13 21
13 22
13 24
13 25
13 26
13 28
13 29
14 17
14 18
14 20
14 22
14 23
14 24
14 28
15 16
15 17
15 18
15 19
15 21
15 22
15 23
15 24
15 26
15 29
16 17
16 20
16 22
16 23
16 24
16 26
16 28
16 29
17 21
17 22
17 23
17 29
18 19
18 21
18 22
18 23
18 24
18 26
18 27
18 28
20 22
20 26
20 28
21 25
21 26
21 28
21 29
22 25
22 26
22 28
23 24
23 25
23 27
23 28
23 29
24 25
24 29
25 27
25 29
26 27
26 28
26 29
27 28
