# family=random seed=1
30 218
0 1
0 4
0 5
0 6
0 9
0 10
0 12
0 14
0 15
0 17
0 20
0 21
0 24
0 25
0 26
0 27
0 28
0 29
1 2
1 3
1 4
1 5
1 6
1 7
1 8
1 12
1 15
1 16
1 20
1 23
1 29
2 3
2 5
2 6
2 10
2 11
2 15
2 16
2 17
2 18
2 22
2 23
2 29
3 7
3 8
3 11
3 19
3 20
3 23
3 25
3 26
3 27
4 6
4 7
4 8
4 9
4 15
4 18
4 19
4 20
4 22
4 23
4 25
4 26
4 27
4 29
5 6
5 8
5 9
5 10
5 11
5 12
5 13
5 14
5 15
5 18
5 21
5 22
5 23
5 25
5 29
6 10
6 12
6 14
6 16
6 17
6 20
6 22
6 25
6 26
6 27
6 29
7 11
7 16
7 17
7 18
7 20
7 21
7 22
7 24
7 25
7 26
7 29
8 9
8 10
8 13
8 14
8 18
8 21
8 23
8 25
8 26
8 28
9 12
9 13
9 14
9 19
9 21
9 22
9 23
9 27
10 11
10 13
10 14
10 15
10 19
10 20
10 23
10 25
10 26
10 28
10 29
11 13
11 14
11 15
11 16
11 18
11 20
11 23
11 24
11 25
11 26
11 28
11 29
12 14
12 16
12 17
12 18
12 22
12 23
12 29
13 15
13 16
13 17
13 18
13 20
13 24
13 25
13 26
13 27
14 15
14 16
14 20
14 21
14 22
14 23
14 25
14 26
14 28
15 16
15 18
15 21
15 23
15 27
15 28
16 18
16 20
16 22
16 23
17 18
17 19
17 20
17 23
17 24
18 19
18 20
18 21
18 22
18 23
18 25
18 27
18 28
18 29
19 20
19 21
19 23
19 24
19 26
19 27
20 22
20 25
20 26
20 27
20 28
20 29
21 25
21 27
21 28
22 24
22 27
23 24
24 27
24 28
24 29
25 28
26 28
27 28
28 29
